p 510 509
dam_criteria energy ghg status 
d 1 30.0 0.0 1
d 2 27.5 0.0 1
d 3 17.5 0.0 1
d 4 22.97 0.0 1
d 5 26.5 0.0 1
d 6 25.3 0.0 1
d 7 10.2 0.0 1
d 8 7.3 0.0 1
d 9 9.4 0.0 1
d 10 10.5 0.0 1
d 11 56.1 0.0 1
d 12 35.3 0.0 1
d 13 65.0 0.3 1
d 14 75.0 0.7 1
d 15 6.2 0.0 1
d 16 6.13 0.0 1
d 17 6.23 0.0 1
d 18 2.55 0.0 1
d 19 120.0 0.6 1
d 20 1.97 0.0 1
d 21 93.0 0.3 1
d 22 54.0 1.7 1
d 23 7.5 0.0 1
d 24 124.0 1.0 1
d 25 990.0 87.9 0
d 26 425.0 11.7 0
d 27 100.0 0.9 0
d 28 3251.0 86.6 0
d 29 3000.0 316.6 0
d 30 133.7 1.1 0
d 31 84.9 1.0 0
d 32 101.6 1.8 0
d 33 500.0 5.5 0
d 34 170.0 3.9 0
d 35 320.0 2.4 0
d 36 520.0 4.8 0
d 37 130.0 3.3 0
d 38 420.0 5.0 0
d 39 400.0 37.8 0
d 40 740.0 13.4 0
d 41 85.0 0.0 1
d 42 116.0 0.0 1
d 43 290.2 1.7 1
d 44 2.0 0.0 1
d 45 30.0 0.0 1
d 46 261.0 0.0 1
d 47 5.3 0.7 1
d 48 7.0 0.0 1
d 49 4.0 0.4 1
d 50 5.0 0.0 1
d 51 3.0 0.1 1
d 52 1.0 0.0 1
d 53 3.0 0.0 1
d 54 2.0 0.1 1
d 55 3.0 0.0 1
d 56 1.48 0.0 1
d 57 27.0 0.0 1
d 58 120.0 0.5 1
d 59 5.0 0.0 1
d 60 30.0 0.0 1
d 61 20.0 0.0 1
d 62 10.0 0.4 1
d 63 29.9 0.3 1
d 64 30.0 0.1 1
d 65 29.0 0.0 1
d 66 13.0 0.3 1
d 67 21.0 0.3 1
d 68 16.0 0.4 1
d 69 18.6 0.3 1
d 70 18.0 0.1 1
d 71 22.0 0.1 1
d 72 29.0 0.3 1
d 73 17.0 0.1 1
d 74 74.5 25.7 1
d 75 8.0 0.1 1
d 76 5.0 0.2 1
d 77 216.0 76.4 1
d 78 20.0 1.8 1
d 79 17.0 0.7 1
d 80 17.0 1.6 1
d 81 3568.0 34.5 1
d 82 3750.0 32.9 1
d 83 73.5 2.9 1
d 84 11.0 0.0 1
d 85 18.2 0.4 1
d 86 1.26 0.1 1
d 87 9.6 0.3 1
d 88 30.3 9.9 1
d 89 240.0 23.4 1
d 90 374.4 4.0 1
d 91 10.0 5.7 1
d 92 25.0 10.2 1
d 93 250.0 300.7 1
d 94 5.0 0.4 1
d 95 700.0 8.4 1
d 96 14.0 0.9 1
d 97 15.0 0.4 1
d 98 9.0 0.4 1
d 99 13.0 1.4 1
d 100 10.0 0.7 1
d 101 6.0 0.0 1
d 102 19.5 0.0 1
d 103 1820.0 19.1 1
d 104 300.0 21.9 1
d 105 1.52 0.1 1
